algorithm,instance,best,worst,avg,std,time_mean
SA,queen6_6,0,4,2.8,1.32665,0.0231596
ABC,queen6_6,2,4,3.4,0.916515,2.02498
DHS,queen6_6,4,10,6.8,1.83303,0.0674053
SA,queen8_8,4,10,7.6,1.49666,0.0702653
ABC,queen8_8,8,16,13.8,2.44131,4.57653
DHS,queen8_8,16,32,22,5.36656,0.0777029
SA,queen12_12,30,40,34.4,3.32265,0.132231
ABC,queen12_12,54,70,64.2,4.33128,12.524
DHS,queen12_12,98,114,105.2,5.87878,0.234398
SA,le450_15b,71,88,78.6,4.73709,0.243759
ABC,le450_15b,97,112,106.8,4.33128,23.3552
DHS,le450_15b,245,261,251.8,5.23068,0.519113
SA,le450_25a,18,26,22.7,2.28254,0.269272
ABC,le450_25a,35,44,40.1,2.42693,28.0212
DHS,le450_25a,108,122,114.4,4.36348,0.493317
SA,DSJC125.1,0,0,0,0,0.0299926
ABC,DSJC125.1,0,0,0,0,0.173125
DHS,DSJC125.1,0,1,0.3,0.458258,0.0483578
SA,DSJC250.5,85,104,97.8,5.81034,0.400402
ABC,DSJC250.5,112,135,125.8,5.56417,41.3613
DHS,DSJC250.5,238,268,253.6,9.85089,0.572537
SA,DSJC500.5,343,382,362.2,11.1247,1.37744
ABC,DSJC500.5,358,376,368.5,5.73149,134.975
DHS,DSJC500.5,805,833,817,10.4307,2.09551
